City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Balut,75,PH,1563849624,79,14.68,120.55,84.99,2.24
Loksa,0,EE,1563849624,100,59.58,25.72,62.6,5.82
Newport,75,GB,1563849430,93,51.59,-3.0,64.0,3.36
Ondjiva,0,AO,1563849626,16,-17.07,15.73,49.72,4.54
Rindal,100,NO,1563849627,91,63.05,9.21,53.68,3.33
Brigantine,1,US,1563849628,78,39.41,-74.36,80.01,5.82
Fort Nelson,20,CA,1563849629,36,58.81,-122.69,80.6,4.7
Bathsheba,75,BB,1563849340,83,13.22,-59.52,80.6,21.92
Chiang Kham,75,TH,1563849630,94,19.53,100.3,78.8,2.64
Aklavik,20,CA,1563849630,53,68.22,-135.01,71.6,5.82
Bandarbeyla,97,SO,1563849631,47,9.49,50.81,78.7,27.11
Batsfjord,13,NO,1563849631,93,70.63,29.72,50.26,2.93
Petauke,0,ZM,1563849632,82,-14.25,31.33,49.36,4.97
Vostok,100,RU,1563849633,95,46.45,135.83,67.18,2.55
Grand Gaube,40,MU,1563849633,77,-20.01,57.66,68.0,11.41
Sorland,50,NO,1563849634,88,67.67,12.69,53.32,8.39
Hukuntsi,0,BW,1563849634,36,-23.98,21.76,48.28,11.18
Zafra,0,ES,1563849635,56,38.43,-6.42,68.98,2.51
Laje,59,BR,1563849636,98,-13.18,-39.42,64.48,6.62
Kieta,43,PG,1563849636,73,-6.22,155.63,83.38,8.12
Camacha,40,PT,1563849637,82,33.08,-16.33,68.0,10.29
Xichang,100,CN,1563849638,97,27.88,102.25,59.08,3.0
Harur,100,IN,1563849638,92,12.06,78.48,71.86,3.67
Otta,75,NG,1563849639,88,6.68,3.23,77.0,6.93
Hobyo,79,SO,1563849640,67,5.35,48.53,75.46,22.17
Poya,0,NC,1563849640,66,-21.35,165.16,68.26,15.95
Ferkessedougou,80,CI,1563849641,94,9.6,-5.2,70.78,8.46
Namatanai,98,PG,1563849351,85,-3.66,152.44,79.06,16.11
La Ronge,20,CA,1563849577,54,55.1,-105.3,78.8,4.7
Gamba,36,CN,1563849642,59,28.28,88.52,49.0,1.41
Petropavlovsk-Kamchatskiy,40,RU,1563849643,68,53.05,158.65,64.4,4.47
Kindersley,20,CA,1563849643,50,51.47,-109.16,75.2,14.99
Coahuayana,76,MX,1563849644,91,18.62,-100.35,72.94,2.89
Teknaf,100,BD,1563849645,82,20.86,92.31,83.02,15.12
Berlevag,0,NO,1563849637,87,70.86,29.09,57.2,2.24
Comodoro Rivadavia,0,AR,1563849646,56,-45.87,-67.48,42.8,16.11
San Ramon,58,NI,1563849547,96,12.92,-85.84,65.74,4.32
Pleshanovo,100,RU,1563849647,93,57.46,28.17,60.8,4.47
Lagoa,0,PT,1563849451,88,37.14,-8.45,75.99,1.12
Awbari,0,LY,1563849648,21,26.59,12.77,75.28,8.7
Honiara,40,SB,1563849649,62,-9.43,159.96,89.6,6.93
Tarakan,2,ID,1563849650,62,3.3,117.63,86.44,3.36
Magistralnyy,64,RU,1563849650,40,56.17,107.45,76.18,4.16
Inirida,98,CO,1563849651,96,3.87,-67.92,73.66,0.67
Rawson,0,AR,1563849629,62,-43.3,-65.11,38.92,15.41
Kosonsoy,0,UZ,1563849652,37,41.25,71.55,84.2,2.24
Tolaga Bay,100,NZ,1563849652,99,-38.37,178.3,50.08,0.18
Eenhana,0,NA,1563849653,18,-17.48,16.34,49.72,6.44
Airai,0,TL,1563849320,34,-8.93,125.41,85.0,1.59
Cascais,20,PT,1563849654,82,38.7,-9.42,68.0,11.41
Kupang,0,ID,1563849655,54,-10.16,123.6,81.94,17.31
Ngudu,6,TZ,1563849655,46,-2.97,33.34,59.08,4.23
North Bend,75,US,1563849656,72,43.41,-124.22,66.2,13.87
Oeiras,0,BR,1563849657,60,-7.01,-42.13,73.66,7.0
Riosucio,40,CO,1563849657,94,5.42,-75.7,69.8,2.24
Panzhihua,100,CN,1563849658,99,26.59,101.72,66.1,2.42
Kharan,93,PK,1563849659,34,28.58,65.42,91.66,7.61
Bratsk,40,RU,1563849660,73,56.15,101.63,69.8,2.24
Dwarka,40,IN,1563849660,84,28.58,77.04,90.0,4.7
Yamethin,100,MM,1563849661,81,20.43,96.14,79.06,15.93
Quatre Cocos,40,MU,1563849662,77,-20.21,57.76,68.0,11.41
Pitlochry,0,GB,1563849662,93,56.7,-3.73,64.0,3.36
Kuna,1,US,1563849663,18,43.49,-116.42,100.4,5.82
Asyut,0,EG,1563849663,42,27.18,31.19,80.6,9.17
Dunedin,71,NZ,1563849652,80,-45.87,170.5,52.0,10.0
Surt,0,LY,1563849665,70,31.21,16.59,78.34,10.83
Kultuk,100,RU,1563849666,40,51.73,103.71,64.99,96.01
Victor Harbor,75,AU,1563849666,76,-35.55,138.62,59.0,23.04
Mbandaka,0,CD,1563849667,89,0.05,18.26,71.14,2.66
Penarroya-Pueblonuevo,16,ES,1563849667,57,38.3,-5.27,80.6,1.12
Amberg,0,DE,1563849668,82,49.45,11.86,63.0,2.24
Ouro Preto do Oeste,0,BR,1563849668,51,-10.75,-62.22,76.0,0.54
Loa Janan,100,ID,1563849669,62,-0.58,117.09,85.36,5.08
Harper,1,US,1563849259,51,30.3,-99.24,84.2,6.93
Tura,100,RU,1563849670,39,64.27,100.22,73.3,13.6
Tuatapere,0,NZ,1563849671,95,-46.13,167.69,46.99,4.0
Ikalamavony,5,MG,1563849671,84,-21.17,46.6,46.84,4.56
Kisangani,29,CD,1563849672,91,0.52,25.21,69.16,1.66
Santiago del Estero,100,AR,1563849570,24,-27.8,-64.26,55.84,7.58
Awjilah,0,LY,1563849673,49,29.14,21.3,71.32,10.2
Den Helder,0,NL,1563849673,100,52.96,4.76,66.2,4.7
Tres Palos,75,MX,1563849674,84,16.83,-99.78,86.0,10.29
Tessalit,55,ML,1563849674,37,20.2,1.01,88.78,3.53
Calama,0,CL,1563849588,14,-22.46,-68.93,50.0,14.99
Zaragoza,0,SV,1563849676,83,13.59,-89.29,82.4,6.11
Paracatu,39,BR,1563849676,73,-17.22,-46.87,59.62,2.98
Sao Luiz Gonzaga,100,BR,1563849677,88,-28.41,-54.96,66.46,4.29
Skibbereen,90,IE,1563849677,93,51.55,-9.27,60.8,11.41
Olga,1,US,1563849678,57,34.11,-118.17,84.99,5.53
Lakewood,1,US,1563849398,68,33.85,-118.12,84.2,8.05
Filadelfia,100,PY,1563849679,47,-22.35,-60.04,67.54,13.18
Qujing,100,CN,1563849679,79,25.49,103.8,69.88,1.95
Puerto Carreno,99,CO,1563849680,85,6.19,-67.49,77.8,3.15
Coquimbo,0,CL,1563849402,66,-29.95,-71.34,50.0,11.41
Bonthe,100,SL,1563849584,89,7.53,-12.5,75.64,14.03
San Carlos de Bariloche,20,AR,1563849681,89,-41.13,-71.31,32.0,12.75
Meridian,1,US,1563849682,18,43.61,-116.39,100.4,5.82
Chokurdakh,100,RU,1563849329,50,70.62,147.9,46.12,4.61
Acajutla,100,SV,1563849577,74,13.59,-89.83,85.0,5.37
Hauge,75,NO,1563849683,93,59.25,10.99,61.0,2.24
Kokopo,91,PG,1563849683,75,-4.34,152.27,81.58,3.42
Emerald,0,AU,1563849578,44,-23.53,148.16,77.0,1.12
Matara,51,BI,1563849684,79,-3.48,29.48,49.36,2.86
Seoul,75,KR,1563849685,83,37.57,126.98,86.0,2.24
Mecca,4,SA,1563849568,32,21.43,39.83,79.24,5.48
Palma del Rio,0,ES,1563849686,57,37.7,-5.28,80.6,1.12
Andilamena,3,MG,1563849686,95,-17.01,48.57,46.12,6.44
Lamu,0,CN,1563849687,50,35.77,102.37,65.74,1.3
Along,100,IN,1563849687,97,28.17,94.8,63.04,0.85
Ahuimanu,75,US,1563849688,83,21.44,-157.84,84.2,8.05
Cabo Rojo,0,PR,1563849688,82,18.09,-67.15,81.0,16.26
Wilmington,40,US,1563849435,88,39.75,-75.55,75.99,9.17
Dehloran,51,IR,1563849689,17,32.69,47.27,88.24,8.1
Port Hawkesbury,90,CA,1563849488,88,45.62,-61.36,68.0,2.24
Providencia,100,CO,1563849691,92,1.24,-77.6,51.88,3.0
Tiarei,75,PF,1563849692,69,-17.53,-149.33,80.6,17.22
Comarapa,7,BO,1563849693,91,-17.91,-64.53,55.66,3.76
Ouadda,100,CF,1563849693,96,8.07,22.4,66.82,2.35
Upanema,77,BR,1563849694,77,-5.64,-37.26,73.84,10.0
Geraldton,90,CA,1563849694,93,49.72,-86.95,60.8,4.7
Mangai,42,CD,1563849695,49,-4.07,19.59,71.5,0.56
Bilma,0,NE,1563849695,35,18.69,12.92,88.24,7.63
Juneau,75,US,1563849682,49,58.3,-134.42,75.2,4.7
Tovarkovo,100,RU,1563849696,93,54.68,35.94,62.6,6.71
Filimonovo,100,RU,1563849697,93,54.21,39.6,59.0,3.91
Kuryk,11,KZ,1563849698,36,43.18,51.68,83.74,20.11
Sassandra,100,CI,1563849698,96,4.95,-6.09,72.22,3.44
Hami,0,CN,1563849699,20,42.84,93.51,84.1,6.91
Phan Thiet,100,VN,1563849610,50,10.93,108.1,90.58,6.8
Kaya,37,NG,1563849700,51,13.31,12.68,84.46,5.97
Saquena,48,PE,1563849700,92,-4.67,-73.52,73.12,1.79
Puerto del Rosario,79,ES,1563849607,77,28.5,-13.86,69.8,14.99
Kendari,37,ID,1563849652,58,-3.99,122.52,82.84,2.8
Bermejo,94,AR,1563849702,54,-22.73,-64.34,52.24,1.61
Salalah,90,OM,1563849702,94,17.01,54.1,78.8,3.36
Sept-Iles,40,CA,1563849703,81,50.2,-66.38,55.0,2.24
Nouadhibou,0,MR,1563849704,78,20.93,-17.03,71.6,20.8
Caconda,0,AO,1563849704,68,-13.73,15.06,48.64,3.53
Santiago,3,PH,1563849483,66,16.69,121.54,85.72,4.32
Marawi,100,PH,1563849706,74,8.0,124.29,84.0,4.0
Nuuk,90,GL,1563849707,93,64.17,-51.74,44.6,3.36
Watsa,100,CD,1563849707,98,3.04,29.53,64.48,2.3
